2021-06-16 08:26:37,445 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='web-mvc', ephemeral=true, revision=4}

2021-06-16 08:26:37,452 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='nacos-demo', ephemeral=true, revision=2}

2021-06-16 08:26:37,486 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='nacos-demo', ephemeral=true, revision=3}

2021-06-16 08:26:37,487 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='web-mvc', ephemeral=true, revision=5}

2021-06-16 09:39:23,384 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='nacos-demo', ephemeral=true, revision=4}

2021-06-16 09:39:23,385 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='web-mvc', ephemeral=true, revision=6}

2021-06-16 09:39:23,406 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='web-mvc', ephemeral=true, revision=7}

2021-06-16 09:39:23,414 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='nacos-demo', ephemeral=true, revision=5}

2021-06-16 12:52:47,392 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='nacos-demo', ephemeral=true, revision=6}

2021-06-16 12:52:47,393 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='web-mvc', ephemeral=true, revision=8}

2021-06-16 12:52:47,446 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='nacos-demo', ephemeral=true, revision=7}

2021-06-16 12:52:47,446 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='web-mvc', ephemeral=true, revision=9}

2021-06-16 13:30:39,307 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='nacos-demo', ephemeral=true, revision=8}

2021-06-16 13:30:39,308 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='web-mvc', ephemeral=true, revision=10}

2021-06-16 13:30:39,340 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='web-mvc', ephemeral=true, revision=11}

2021-06-16 13:30:39,340 INFO [PUSH] Task merge for Service{namespace='default', group='DEFAULT_GROUP', name='nacos-demo', ephemeral=true, revision=9}

